harmonized_id	symbol	biotype	n_datasets_hvg
ENSMUSG00000002985	Apoe	protein_coding	164
ENSMUSG00000020644	Id2	protein_coding	156
ENSMUSG00000021250	Fos	protein_coding	156
ENSMUSG00000024610	Cd74	protein_coding	154
ENSMUSG00000022018	Rgcc	protein_coding	153
ENSMUSG00000007872	Id3	protein_coding	152
ENSMUSG00000050335	Lgals3	protein_coding	151
ENSMUSG00000073421	H2-Ab1	protein_coding	151
ENSMUSG00000021453	Gadd45g	protein_coding	150
ENSMUSG00000005413	Hmox1	protein_coding	150
ENSMUSG00000018593	Sparc	protein_coding	149
ENSMUSG00000032554	Trf	protein_coding	149
ENSMUSG00000064373	Selenop	protein_coding	148
ENSMUSG00000029322	Plac8	protein_coding	148
ENSMUSG00000006398	Cdc20	protein_coding	148
ENSMUSG00000024659	Anxa1	protein_coding	148
ENSMUSG00000029304	Spp1	protein_coding	146
ENSMUSG00000026360	Rgs2	protein_coding	146
ENSMUSG00000028195	Ccn1	protein_coding	146
ENSMUSG00000091971	Hspa1a	protein_coding	145
ENSMUSG00000001403	Ube2c	protein_coding	145
ENSMUSG00000020641	Rsad2	protein_coding	144
ENSMUSG00000026628	Atf3	protein_coding	144
ENSMUSG00000022037	Clu	protein_coding	144
ENSMUSG00000006360	Crip1	protein_coding	144
ENSMUSG00000034855	Cxcl10	protein_coding	144
ENSMUSG00000024190	Dusp1	protein_coding	143
ENSMUSG00000041431	Ccnb1	protein_coding	143
ENSMUSG00000015568	Lpl	protein_coding	143
ENSMUSG00000019929	Dcn	protein_coding	143
ENSMUSG00000027962	Vcam1	protein_coding	143
ENSMUSG00000014846	Tppp3	protein_coding	142
ENSMUSG00000004951	Hspb1	protein_coding	142
ENSMUSG00000026728	Vim	protein_coding	142
ENSMUSG00000049775	Tmsb4x	protein_coding	142
ENSMUSG00000003541	Ier3	protein_coding	142
ENSMUSG00000030560	Ctsc	protein_coding	142
ENSMUSG00000027562	Car2	protein_coding	141
ENSMUSG00000026879	Gsn	protein_coding	141
ENSMUSG00000025492	Ifitm3	protein_coding	141
ENSMUSG00000052684	Jun	protein_coding	140
ENSMUSG00000038418	Egr1	protein_coding	140
ENSMUSG00000026193	Fn1	protein_coding	140
ENSMUSG00000001025	S100a6	protein_coding	140
ENSMUSG00000002944	Cd36	protein_coding	139
ENSMUSG00000068220	Lgals1	protein_coding	139
ENSMUSG00000035783	Acta2	protein_coding	139
ENSMUSG00000023067	Cdkn1a	protein_coding	139
ENSMUSG00000036256	Igfbp7	protein_coding	138
ENSMUSG00000018339	Gpx3	protein_coding	138
ENSMUSG00000042745	Id1	protein_coding	138
ENSMUSG00000021025	Nfkbia	protein_coding	138
ENSMUSG00000052837	Junb	protein_coding	138
ENSMUSG00000044734	Serpinb1a	protein_coding	137
ENSMUSG00000017493	Igfbp4	protein_coding	137
ENSMUSG00000058135	Gstm1	protein_coding	137
ENSMUSG00000019942	Cdk1	protein_coding	137
ENSMUSG00000037664	Cdkn1c	protein_coding	137
ENSMUSG00000027800	Tm4sf1	protein_coding	137
ENSMUSG00000027447	Cst3	protein_coding	137
ENSMUSG00000027368	Dusp2	protein_coding	137
ENSMUSG00000032218	Ccnb2	protein_coding	137
ENSMUSG00000020914	Top2a	protein_coding	137
ENSMUSG00000025491	Ifitm1	protein_coding	137
ENSMUSG00000027533	Fabp5	protein_coding	136
ENSMUSG00000026185	Igfbp5	protein_coding	136
ENSMUSG00000026249	Serpine2	protein_coding	136
ENSMUSG00000040152	Thbs1	protein_coding	136
ENSMUSG00000036905	C1qb	protein_coding	136
ENSMUSG00000022528	Hes1	protein_coding	135
ENSMUSG00000028832	Stmn1	protein_coding	134
ENSMUSG00000017002	Slpi	protein_coding	134
ENSMUSG00000020649	Rrm2	protein_coding	134
ENSMUSG00000031880	Rrad	protein_coding	134
ENSMUSG00000023034	Nr4a1	protein_coding	134
ENSMUSG00000040204	Pclaf	protein_coding	134
ENSMUSG00000009633	G0s2	protein_coding	134
ENSMUSG00000029661	Col1a2	protein_coding	133
ENSMUSG00000020423	Btg2	protein_coding	133
ENSMUSG00000015312	Gadd45b	protein_coding	133
ENSMUSG00000024621	Csf1r	protein_coding	133
ENSMUSG00000058715	Fcer1g	protein_coding	133
ENSMUSG00000045573	Penk	protein_coding	133
ENSMUSG00000020053	Igf1	protein_coding	133
ENSMUSG00000015396	Cd83	protein_coding	133
ENSMUSG00000018930	Ccl4	protein_coding	133
ENSMUSG00000048489	Depp1	protein_coding	133
ENSMUSG00000030579	Tyrobp	protein_coding	133
ENSMUSG00000030790	Adm	protein_coding	132
ENSMUSG00000030214	Plbd1	protein_coding	132
ENSMUSG00000001270	Ckb	protein_coding	132
ENSMUSG00000035493	Tgfbi	protein_coding	132
ENSMUSG00000035042	Ccl5	protein_coding	132
ENSMUSG00000019970	Sgk1	protein_coding	132
ENSMUSG00000017754	Pltp	protein_coding	132
ENSMUSG00000000982	Ccl3	protein_coding	131
ENSMUSG00000039405	Prss23	protein_coding	131
ENSMUSG00000000184	Ccnd2	protein_coding	131
ENSMUSG00000034459	Ifit1	protein_coding	131
ENSMUSG00000030218	Mgp	protein_coding	131
ENSMUSG00000026712	Mrc1	protein_coding	131
ENSMUSG00000036887	C1qa	protein_coding	131
ENSMUSG00000034634	Ly6d	protein_coding	130
ENSMUSG00000026043	Col3a1	protein_coding	129
