harmonized_id	symbol	biotype	n_datasets_hvg	why_unmapped
ENSG00000125148	MT2A	protein_coding	172	no ortholog in the table
ENSG00000169429	CXCL8	protein_coding	167	no ortholog in the table
ENSG00000081041	CXCL2	protein_coding	167	no ortholog in the table
ENSG00000231389	HLA-DPA1	protein_coding	166	no ortholog in the table
ENSG00000090382	LYZ	protein_coding	165	ortholog(s) exist but none is in the other vocabulary
ENSG00000122862	SRGN	protein_coding	164	no ortholog in the table
ENSG00000119917	IFIT3	protein_coding	161	no ortholog in the table
ENSG00000115523	GNLY	protein_coding	161	no ortholog in the table
ENSG00000110077	MS4A6A	protein_coding	160	no ortholog in the table
ENSG00000169715	MT1E	protein_coding	160	no ortholog in the table
ENSG00000148773	MKI67	protein_coding	159	no ortholog in the table
ENSG00000223865	HLA-DPB1	protein_coding	158	no ortholog in the table
ENSG00000008517	IL32	protein_coding	157	no ortholog in the table
ENSG00000137959	IFI44L	protein_coding	157	no ortholog in the table
ENSG00000173110	HSPA6	protein_coding	157	no ortholog in the table
ENSG00000205542	TMSB4X	protein_coding	156	no ortholog in the table
ENSG00000179344	HLA-DQB1	protein_coding	155	no ortholog in the table
ENSG00000245532	NEAT1	lncRNA	154	no ortholog in the table
ENSG00000165949	IFI27	protein_coding	154	no ortholog in the table
ENSG00000197061	H4C3	protein_coding	154	no ortholog in the table
ENSG00000167996	FTH1	protein_coding	154	no ortholog in the table
ENSG00000141682	PMAIP1	protein_coding	154	no ortholog in the table
ENSG00000169442	CD52	protein_coding	153	no ortholog in the table
ENSG00000185745	IFIT1	protein_coding	153	no ortholog in the table
ENSG00000163734	CXCL3	protein_coding	153	no ortholog in the table
ENSG00000117228	GBP1	protein_coding	152	no ortholog in the table
ENSG00000187193	MT1X	protein_coding	152	no ortholog in the table
ENSG00000126709	IFI6	protein_coding	152	no ortholog in the table
ENSG00000108691	CCL2	protein_coding	152	no ortholog in the table
ENSG00000059804	SLC2A3	protein_coding	151	no ortholog in the table
ENSG00000196735	HLA-DQA1	protein_coding	150	no ortholog in the table
ENSG00000135047	CTSL	protein_coding	150	no ortholog in the table
ENSG00000111796	KLRB1	protein_coding	148	no ortholog in the table
ENSG00000106565	TMEM176B	protein_coding	147	no ortholog in the table
ENSG00000134539	KLRD1	protein_coding	146	no ortholog in the table
ENSG00000204482	LST1	protein_coding	145	no ortholog in the table
ENSG00000163739	CXCL1	protein_coding	144	no ortholog in the table
ENSG00000130844	ZNF331	protein_coding	144	no ortholog in the table
ENSG00000125144	MT1G	protein_coding	144	no ortholog in the table
ENSG00000137441	FGFBP2	protein_coding	143	no ortholog in the table
ENSG00000163563	MNDA	protein_coding	141	no ortholog in the table
ENSG00000198467	TPM2	protein_coding	141	no ortholog in the table
ENSG00000034510	TMSB10	protein_coding	141	no ortholog in the table
ENSG00000111640	GAPDH	protein_coding	140	no ortholog in the table
ENSG00000166927	MS4A7	protein_coding	139	no ortholog in the table
ENSG00000155659	VSIG4	protein_coding	138	no ortholog in the table
ENSG00000136244	IL6	protein_coding	137	no ortholog in the table
ENSG00000180573	H2AC6	protein_coding	137	no ortholog in the table
ENSG00000214548	MEG3	lncRNA	136	no ortholog in the table
ENSG00000099985	OSM	protein_coding	135	no ortholog in the table
ENSG00000156802	ATAD2	protein_coding	135	no ortholog in the table
ENSG00000132514	CLEC10A	protein_coding	135	no ortholog in the table
ENSG00000153563	CD8A	protein_coding	133	no ortholog in the table
ENSG00000134545	KLRC1	protein_coding	133	no ortholog in the table
ENSG00000234883	MIR155HG	lncRNA	132	no ortholog in the table
ENSG00000163221	S100A12	protein_coding	131	no ortholog in the table
ENSG00000160593	JAML	protein_coding	131	no ortholog in the table
ENSG00000196139	AKR1C3	protein_coding	131	no ortholog in the table
ENSG00000242265	PEG10	protein_coding	130	no ortholog in the table
ENSG00000277734	TRAC	TR_C_gene	130	no ortholog in the table
ENSG00000187479	C11orf96	protein_coding	130	no ortholog in the table
ENSG00000222041	CYTOR	lncRNA	130	no ortholog in the table
ENSG00000173391	OLR1	protein_coding	130	no ortholog in the table
ENSG00000158481	CD1C	protein_coding	129	no ortholog in the table
ENSG00000114013	CD86	protein_coding	129	no ortholog in the table
ENSG00000143226	FCGR2A	protein_coding	129	no ortholog in the table
ENSG00000205358	MT1H	protein_coding	129	no ortholog in the table
ENSG00000244734	HBB	protein_coding	129	no ortholog in the table
ENSG00000128383	APOBEC3A	protein_coding	129	no ortholog in the table
ENSG00000163535	SGO2	protein_coding	128	no ortholog in the table
ENSG00000013810	TACC3	protein_coding	128	no ortholog in the table
ENSG00000188290	HES4	protein_coding	128	no ortholog in the table
ENSG00000272398	CD24	protein_coding	127	no ortholog in the table
ENSG00000172183	ISG20	protein_coding	127	no ortholog in the table
ENSG00000110852	CLEC2B	protein_coding	126	no ortholog in the table
ENSG00000123485	HJURP	protein_coding	126	no ortholog in the table
ENSG00000134333	LDHA	protein_coding	126	no ortholog in the table
ENSG00000172965	MIR4435-2HG	lncRNA	126	no ortholog in the table
ENSG00000198830	HMGN2	protein_coding	126	no ortholog in the table
ENSG00000026751	SLAMF7	protein_coding	126	no ortholog in the table
ENSG00000189057	FAM111B	protein_coding	126	no ortholog in the table
ENSG00000179639	FCER1A	protein_coding	125	no ortholog in the table
ENSG00000111537	IFNG	protein_coding	125	no ortholog in the table
ENSG00000196352	CD55	protein_coding	125	no ortholog in the table
ENSG00000087074	PPP1R15A	protein_coding	125	no ortholog in the table
ENSG00000124731	TREM1	protein_coding	125	no ortholog in the table
ENSG00000172243	CLEC7A	protein_coding	125	no ortholog in the table
ENSG00000237541	HLA-DQA2	protein_coding	125	no ortholog in the table
ENSG00000161921	CXCL16	protein_coding	124	no ortholog in the table
ENSG00000269821	KCNQ1OT1	lncRNA	124	no ortholog in the table
ENSG00000186818	LILRB4	protein_coding	123	no ortholog in the table
ENSG00000064886	CHI3L2	protein_coding	123	no ortholog in the table
ENSG00000148671	ADIRF	protein_coding	123	no ortholog in the table
ENSG00000172116	CD8B	protein_coding	123	no ortholog in the table
ENSG00000006327	TNFRSF12A	protein_coding	122	no ortholog in the table
ENSG00000163993	S100P	protein_coding	122	no ortholog in the table
ENSG00000072694	FCGR2B	protein_coding	122	no ortholog in the table
ENSG00000186891	TNFRSF18	protein_coding	121	no ortholog in the table
ENSG00000088992	TESC	protein_coding	121	no ortholog in the table
ENSG00000198417	MT1F	protein_coding	121	no ortholog in the table
ENSG00000109971	HSPA8	protein_coding	121	no ortholog in the table
ENSG00000022267	FHL1	protein_coding	121	no ortholog in the table
ENSG00000251562	MALAT1	lncRNA	121	no ortholog in the table
ENSG00000173762	CD7	protein_coding	120	no ortholog in the table
ENSG00000175197	DDIT3	protein_coding	120	ortholog(s) exist but none is in the other vocabulary
ENSG00000150045	KLRF1	protein_coding	118	no ortholog in the table
ENSG00000187134	AKR1C1	protein_coding	118	no ortholog in the table
ENSG00000147889	CDKN2A	protein_coding	118	no ortholog in the table
ENSG00000164825	DEFB1	protein_coding	118	no ortholog in the table
ENSG00000129226	CD68	protein_coding	118	no ortholog in the table
ENSG00000183486	MX2	protein_coding	117	no ortholog in the table
ENSG00000205364	MT1M	protein_coding	117	no ortholog in the table
ENSG00000000971	CFH	protein_coding	116	no ortholog in the table
ENSG00000138646	HERC5	protein_coding	116	no ortholog in the table
ENSG00000234745	HLA-B	protein_coding	115	no ortholog in the table
ENSG00000188257	PLA2G2A	protein_coding	115	no ortholog in the table
ENSG00000156265	MAP3K7CL	protein_coding	114	no ortholog in the table
ENSG00000156234	CXCL13	protein_coding	114	no ortholog in the table
ENSG00000157168	NRG1	protein_coding	114	ortholog(s) exist but none is in the other vocabulary
ENSG00000137309	HMGA1	protein_coding	114	no ortholog in the table
ENSG00000211895	IGHA1	IG_C_gene	114	no ortholog in the table
ENSG00000211896	IGHG1	IG_C_gene	114	no ortholog in the table
ENSG00000148346	LCN2	protein_coding	113	no ortholog in the table
ENSG00000275385	CCL18	protein_coding	113	no ortholog in the table
ENSG00000101443	WFDC2	protein_coding	112	no ortholog in the table
ENSG00000115541	HSPE1	protein_coding	112	no ortholog in the table
ENSG00000131042	LILRB2	protein_coding	112	no ortholog in the table
ENSG00000275395	FCGBP	protein_coding	112	no ortholog in the table
ENSG00000128567	PODXL	protein_coding	111	no ortholog in the table
ENSG00000130303	BST2	protein_coding	111	no ortholog in the table
ENSG00000162493	PDPN	protein_coding	110	no ortholog in the table
ENSG00000169385	RNASE2	protein_coding	110	no ortholog in the table
ENSG00000248323	LUCAT1	lncRNA	110	no ortholog in the table
ENSG00000162595	DIRAS3	protein_coding	109	no ortholog in the table
