harmonized_id	symbol	biotype	n_datasets_hvg	why_unmapped
ENSMUSG00000075602	Ly6a	protein_coding	157	no ortholog in the table
ENSMUSG00000031765	Mt1	protein_coding	151	no ortholog in the table
ENSMUSG00000069516	Lyz2	protein_coding	149	no ortholog in the table
ENSMUSG00000060586	H2-Eb1	protein_coding	145	no ortholog in the table
ENSMUSG00000036594	H2-Aa	protein_coding	143	no ortholog in the table
ENSMUSG00000031762	Mt2	protein_coding	142	no ortholog in the table
ENSMUSG00000044258	Ctla2a	protein_coding	141	no ortholog in the table
ENSMUSG00000020077	Srgn	protein_coding	140	no ortholog in the table
ENSMUSG00000018927	Ccl6	protein_coding	139	no ortholog in the table
ENSMUSG00000079018	Ly6c1	protein_coding	137	no ortholog in the table
ENSMUSG00000047139	Cd24a	protein_coding	134	no ortholog in the table
ENSMUSG00000000682	Cd52	protein_coding	133	no ortholog in the table
ENSMUSG00000079017	Ifi27l2a	protein_coding	133	no ortholog in the table
ENSMUSG00000019122	Ccl9	protein_coding	133	no ortholog in the table
ENSMUSG00000035385	Ccl2	protein_coding	130	no ortholog in the table
ENSMUSG00000058427	Cxcl2	protein_coding	130	no ortholog in the table
ENSMUSG00000029373	Pf4	protein_coding	128	no ortholog in the table
ENSMUSG00000069792	Wfdc17	protein_coding	127	no ortholog in the table
ENSMUSG00000018774	Cd68	protein_coding	126	no ortholog in the table
ENSMUSG00000075010	AW112010	lncRNA	125	no ortholog in the table
ENSMUSG00000021477	Ctsl	protein_coding	125	no ortholog in the table
ENSMUSG00000059498	Fcgr3	protein_coding	124	no ortholog in the table
ENSMUSG00000074896	Ifit3	protein_coding	123	no ortholog in the table
ENSMUSG00000022584	Ly6c2	protein_coding	123	no ortholog in the table
ENSMUSG00000054072	Iigp1	protein_coding	123	no ortholog in the table
ENSMUSG00000018920	Cxcl16	protein_coding	123	no ortholog in the table
ENSMUSG00000021268	Meg3	lncRNA	121	no ortholog in the table
ENSMUSG00000029380	Cxcl1	protein_coding	121	no ortholog in the table
ENSMUSG00000024672	Ms4a7	protein_coding	120	no ortholog in the table
ENSMUSG00000079419	Ms4a6c	protein_coding	120	no ortholog in the table
ENSMUSG00000028464	Tpm2	protein_coding	118	no ortholog in the table
ENSMUSG00000025163	Cd7	protein_coding	118	no ortholog in the table
ENSMUSG00000029810	Tmem176b	protein_coding	117	no ortholog in the table
ENSMUSG00000025150	Cbr2	protein_coding	117	no ortholog in the table
ENSMUSG00000026822	Lcn2	protein_coding	117	no ortholog in the table
ENSMUSG00000043953	Ccrl2	protein_coding	116	no ortholog in the table
ENSMUSG00000024661	Fth1	protein_coding	114	no ortholog in the table
ENSMUSG00000060962	Dmkn	protein_coding	114	no ortholog in the table
ENSMUSG00000018102	H2bc4	protein_coding	114	no ortholog in the table
ENSMUSG00000026656	Fcgr2b	protein_coding	113	no ortholog in the table
ENSMUSG00000003038	Hmgn2	protein_coding	112	no ortholog in the table
ENSMUSG00000061232	H2-K1	protein_coding	112	no ortholog in the table
ENSMUSG00000032068	Plet1	protein_coding	111	no ortholog in the table
ENSMUSG00000040950	Mgl2	protein_coding	111	no ortholog in the table
ENSMUSG00000092274	Neat1	lncRNA	110	no ortholog in the table
ENSMUSG00000112148	Lilrb4a	protein_coding	110	no ortholog in the table
ENSMUSG00000042842	Serpinb6b	protein_coding	110	no ortholog in the table
ENSMUSG00000041481	Serpina3g	protein_coding	108	no ortholog in the table
ENSMUSG00000023905	Tnfrsf12a	protein_coding	107	no ortholog in the table
ENSMUSG00000031004	Mki67	protein_coding	107	no ortholog in the table
ENSMUSG00000026938	Fcna	protein_coding	107	no ortholog in the table
ENSMUSG00000025746	Il6	protein_coding	107	no ortholog in the table
ENSMUSG00000030165	Klrd1	protein_coding	106	no ortholog in the table
ENSMUSG00000079523	Tmsb10	protein_coding	105	no ortholog in the table
ENSMUSG00000024675	Ms4a4c	protein_coding	105	no ortholog in the table
ENSMUSG00000026399	Cd55	protein_coding	104	no ortholog in the table
ENSMUSG00000046879	Irgm1	protein_coding	104	no ortholog in the table
ENSMUSG00000056290	Ms4a4b	protein_coding	104	no ortholog in the table
ENSMUSG00000031494	Cd209a	protein_coding	103	no ortholog in the table
ENSMUSG00000009687	Fxyd5	protein_coding	102	no ortholog in the table
ENSMUSG00000026365	Cfh	protein_coding	101	no ortholog in the table
ENSMUSG00000000031	H19	lncRNA	101	no ortholog in the table
ENSMUSG00000092341	Malat1	lncRNA	101	no ortholog in the table
ENSMUSG00000112023	Lilrb4b	protein_coding	101	no ortholog in the table
ENSMUSG00000024679	Ms4a6d	protein_coding	101	no ortholog in the table
ENSMUSG00000046718	Bst2	protein_coding	100	no ortholog in the table
ENSMUSG00000032348	Gsta4	protein_coding	100	no ortholog in the table
ENSMUSG00000040026	Saa3	protein_coding	100	no ortholog in the table
ENSMUSG00000017723	Wfdc2	protein_coding	100	no ortholog in the table
ENSMUSG00000022579	Gpihbp1	protein_coding	99	no ortholog in the table
ENSMUSG00000024677	Ms4a6b	protein_coding	99	no ortholog in the table
ENSMUSG00000059108	Ifitm6	protein_coding	99	no ortholog in the table
ENSMUSG00000078920	Ifi47	protein_coding	99	no ortholog in the table
ENSMUSG00000001123	Lgals9	protein_coding	99	no ortholog in the table
ENSMUSG00000024521	Pmaip1	protein_coding	99	no ortholog in the table
ENSMUSG00000072596	Ear2	protein_coding	99	no ortholog in the table
ENSMUSG00000051504	Siglech	protein_coding	99	no ortholog in the table
ENSMUSG00000069515	Lyz1	protein_coding	99	no ortholog in the table
ENSMUSG00000032679	Cd59a	protein_coding	99	no ortholog in the table
ENSMUSG00000073411	H2-D1	protein_coding	98	no ortholog in the table
ENSMUSG00000062488	Ifit3b	protein_coding	98	no ortholog in the table
ENSMUSG00000058755	Osm	protein_coding	98	no ortholog in the table
ENSMUSG00000047501	Cldn4	protein_coding	97	no ortholog in the table
ENSMUSG00000015852	Fcrl2	protein_coding	97	no ortholog in the table
ENSMUSG00000044678	Ly6k	protein_coding	96	no ortholog in the table
ENSMUSG00000023078	Cxcl13	protein_coding	96	no ortholog in the table
ENSMUSG00000035678	Tnfsf9	protein_coding	96	no ortholog in the table
ENSMUSG00000093674	Rpl41	protein_coding	95	no ortholog in the table
ENSMUSG00000047867	Gimap6	protein_coding	94	no ortholog in the table
ENSMUSG00000033355	Rtp4	protein_coding	94	no ortholog in the table
ENSMUSG00000023092	Fhl1	protein_coding	93	no ortholog in the table
ENSMUSG00000078853	Igtp	protein_coding	93	no ortholog in the table
